"transaction_id","customer_id","product_id","timestamp","quantity","product_name","product_category","price","join_date","customer_location","total_price"
TRX0001,CUST001,PROD005,2023-01-20 10:05:00.000,2,T-Shirt Katun,Pakaian,150000.0,2023-01-15,Jakarta,300000.0
TRX0002,CUST002,PROD002,2023-01-22 14:30:00.000,1,Smartphone X,Elektronik,8500000.0,2023-01-20,Surabaya,8500000.0
TRX0003,CUST001,PROD003,2023-02-01 09:15:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-01-15,Jakarta,250000.0
TRX0004,CUST003,PROD011,2023-02-08 18:45:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-02-05,Bandung,95000.0
TRX0005,CUST005,PROD001,2023-03-05 11:20:00.000,1,Laptop Pro 15,Elektronik,15000000,2023-03-01,Jakarta,15000000
TRX0006,CUST004,PROD008,2023-03-10 20:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2023-02-10,Medan,750000.0
TRX0007,CUST006,PROD009,2023-03-15 13:10:00.000,1,Matras Yoga,Olahraga,300000.0,2023-03-12,Yogyakarta,300000.0
TRX0008,CUST002,PROD005,2023-03-25 16:50:00.000,3,T-Shirt Katun,Pakaian,150000.0,2023-01-20,Surabaya,450000.0
TRX0009,CUST008,PROD006,2023-04-25 19:22:00.000,1,Kemeja Flanel,Pakaian,350000.0,2023-02-19,NaN,350000.0
TRX0010,CUST007,PROD015,2023-05-01 12:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2023-01-28,Surabaya,400000.0
TRX0011,CUST010,PROD017,2023-05-28 08:30:00.000,1,Headphone Bluetooth,Elektronik,600000.0,2023-03-25,Jakarta,600000.0
TRX0012,CUST001,PROD022,2023-06-02 10:11:00.000,1,Power Bank 10000mAh,Elektronik,300000.0,2023-01-15,Jakarta,300000.0
TRX0013,CUST009,PROD014,2023-06-10 14:05:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2023-03-09,Semarang,550000.0
TRX0014,CUST012,PROD007,2023-06-22 17:40:00.000,1,Celana Jeans,Pakaian,450000.0,2023-04-19,Medan,450000.0
TRX0015,CUST005,PROD003,2023-07-01 21:25:00.000,2,Wireless Mouse,Elektronik,250000.0,2023-03-01,Jakarta,500000.0
TRX0016,CUST011,PROD024,2023-07-08 09:55:00.000,2,Botol Minum 1L,Olahraga,80000.0,2023-04-07,Makassar,160000.0
TRX0017,CUST013,PROD012,2023-07-18 11:10:00.000,1,"Buku Motivasi ""Bangkit""",Buku,120000.0,2023-05-03,Yogyakarta,120000.0
TRX0018,CUST015,PROD002,2023-08-05 15:30:00.000,1,Smartphone X,Elektronik,8500000.0,2023-06-01,Surabaya,8500000.0
TRX0019,CUST002,PROD018,2023-08-15 18:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2023-01-20,Surabaya,400000.0
TRX0020,CUST014,PROD005,2023-08-20 10:40:00.000,5,T-Shirt Katun,Pakaian,150000.0,2023-05-15,Jakarta,750000.0
TRX0021,CUST017,PROD016,2023-09-10 13:20:00.000,1,Sprei Katun Jepang,Rumah Tangga,250000.0,2023-07-04,Semarang,250000.0
TRX0022,CUST016,PROD028,2023-09-15 16:00:00.000,1,Topi Baseball,Pakaian,120000.0,2023-06-11,Bandung,120000.0
TRX0023,CUST001,PROD011,2023-09-25 19:45:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-01-15,Jakarta,95000.0
TRX0024,CUST019,PROD010,2023-10-10 09:00:00.000,2,Dumbbell 5kg,Olahraga,200000.0,2023-08-05,Makassar,400000.0
TRX0025,CUST018,PROD004,2023-10-18 12:30:00.000,1,Mechanical Keyboard,Elektronik,800000.0,2023-07-21,Jakarta,800000.0
TRX0026,CUST020,PROD019,2023-10-25 14:20:00.000,1,Tas Ransel,Olahraga,350000.0,2023-08-18,Medan,350000.0
TRX0027,CUST005,PROD002,2023-11-01 11:50:00.000,1,Smartphone X,Elektronik,8500000.0,2023-03-01,Jakarta,8500000.0
TRX0028,CUST021,PROD027,2023-11-08 17:10:00.000,1,Webcam HD,Elektronik,450000.0,2023-09-02,Jakarta,450000.0
TRX0029,CUST022,PROD008,2023-11-20 20:30:00.000,1,Sepatu Lari,Olahraga,750000.0,2023-09-14,Surabaya,750000.0
TRX0030,CUST003,PROD013,2023-12-05 10:00:00.000,3,Komik Petualangan,Buku,50000.0,2023-02-05,Bandung,150000.0
TRX0031,CUST024,PROD009,2023-12-22 13:45:00.000,1,Matras Yoga,Olahraga,300000.0,2023-10-20,NaN,300000.0
TRX0032,CUST023,PROD005,2024-01-02 15:00:00.000,2,T-Shirt Katun,Pakaian,150000.0,2023-10-01,Bandung,300000.0
TRX0033,CUST025,PROD001,2024-01-12 09:10:00.000,1,Laptop Pro 15,Elektronik,15000000,2023-11-08,Jakarta,15000000
TRX0034,CUST001,PROD005,2024-01-20 11:25:00.000,1,T-Shirt Katun,Pakaian,150000.0,2023-01-15,Jakarta,150000.0
TRX0035,CUST026,PROD021,2024-01-28 18:55:00.000,1,Lampu Meja LED,Rumah Tangga,180000.0,2023-11-17,Semarang,180000.0
TRX0036,CUST027,PROD015,2024-02-10 14:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2023-12-03,Surabaya,400000.0
TRX0037,CUST002,PROD003,2024-02-18 16:30:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-01-20,Surabaya,250000.0
TRX0038,CUST029,PROD017,2024-03-15 10:15:00.000,1,Headphone Bluetooth,Elektronik,600000.0,2024-01-10,Jakarta,600000.0
TRX0039,CUST028,PROD006,2024-03-25 19:00:00.000,1,Kemeja Flanel,Pakaian,350000.0,2023-12-22,Bandung,350000.0
TRX0040,CUST030,PROD023,2024-04-01 12:40:00.000,1,Sandal Gunung,Pakaian,280000.0,2024-01-25,Medan,280000.0
TRX0041,CUST031,PROD024,2024-04-10 08:50:00.000,3,Botol Minum 1L,Olahraga,80000.0,2024-02-05,Yogyakarta,240000.0
TRX0042,CUST005,PROD004,2024-04-20 11:00:00.000,1,Mechanical Keyboard,Elektronik,800000.0,2023-03-01,Jakarta,800000.0
TRX0043,CUST033,PROD005,2024-05-08 14:20:00.000,2,T-Shirt Katun,Pakaian,150000.0,2024-03-02,Jakarta,300000.0
TRX0044,CUST032,PROD020,2024-05-15 17:30:00.000,1,Buku Resep Masakan,Buku,110000.0,2024-02-18,Makassar,110000.0
TRX0045,CUST034,PROD008,2024-05-25 20:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2024-03-20,Surabaya,750000.0
TRX0046,CUST001,PROD002,2024-06-05 09:45:00.000,1,Smartphone X,Elektronik,8500000.0,2023-01-15,Jakarta,8500000.0
TRX0047,CUST035,PROD026,2024-06-15 13:00:00.000,1,Set Alat Masak,Rumah Tangga,700000.0,2024-04-09,Bandung,700000.0
TRX0048,CUST036,PROD030,2024-06-28 16:10:00.000,1,Kamus Inggris-Indonesia,Buku,130000.0,2024-04-21,Semarang,130000.0
TRX0049,CUST010,PROD005,2024-07-05 10:00:00.000,1,T-Shirt Katun,Pakaian,150000.0,2023-03-25,Jakarta,150000.0
TRX0050,CUST037,PROD001,2024-07-12 11:30:00.000,1,Laptop Pro 15,Elektronik,15000000,2024-05-04,Jakarta,15000000
TRX0051,CUST038,PROD007,2024-07-25 18:00:00.000,1,Celana Jeans,Pakaian,450000.0,2024-05-19,Medan,450000.0
TRX0052,CUST039,PROD009,2024-08-05 14:00:00.000,1,Matras Yoga,Olahraga,300000.0,2024-06-01,Yogyakarta,300000.0
TRX0053,CUST002,PROD011,2024-08-12 17:00:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-01-20,Surabaya,95000.0
TRX0054,CUST040,PROD022,2024-08-20 09:00:00.000,1,Power Bank 10000mAh,Elektronik,300000.0,2024-06-15,Jakarta,300000.0
TRX0055,CUST041,PROD015,2024-09-08 12:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2024-07-02,Surabaya,400000.0
TRX0056,CUST005,PROD005,2024-09-15 15:00:00.000,2,T-Shirt Katun,Pakaian,150000.0,2023-03-01,Jakarta,300000.0
TRX0057,CUST042,PROD006,2024-09-25 19:00:00.000,1,Kemeja Flanel,Pakaian,350000.0,2024-07-18,Bandung,350000.0
TRX0058,CUST043,PROD014,2024-10-10 10:00:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2024-08-07,NaN,550000.0
TRX0059,CUST044,PROD017,2024-10-28 13:00:00.000,1,Headphone Bluetooth,Elektronik,600000.0,2024-08-22,Jakarta,600000.0
TRX0060,CUST001,PROD003,2024-11-05 16:00:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-01-15,Jakarta,250000.0
TRX0061,CUST045,PROD024,2024-11-12 08:00:00.000,1,Botol Minum 1L,Olahraga,80000.0,2024-09-05,Makassar,80000.0
TRX0062,CUST046,PROD023,2024-11-25 11:00:00.000,1,Sandal Gunung,Pakaian,280000.0,2024-09-19,Medan,280000.0
TRX0063,CUST047,PROD004,2024-12-10 14:00:00.000,1,Mechanical Keyboard,Elektronik,800000.0,2024-10-03,Jakarta,800000.0
TRX0064,CUST048,PROD008,2024-12-20 17:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2024-10-15,Surabaya,750000.0
TRX0065,CUST002,PROD005,2025-01-05 10:00:00.000,1,T-Shirt Katun,Pakaian,150000.0,2023-01-20,Surabaya,150000.0
TRX0066,CUST049,PROD018,2025-01-08 13:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2024-11-02,Bandung,400000.0
TRX0067,CUST050,PROD012,2025-01-15 16:00:00.000,1,"Buku Motivasi ""Bangkit""",Buku,120000.0,2024-11-10,Yogyakarta,120000.0
TRX0068,CUST001,PROD027,2025-01-20 19:00:00.000,1,Webcam HD,Elektronik,450000.0,2023-01-15,Jakarta,450000.0
TRX0069,CUST005,PROD001,2025-01-25 09:00:00.000,1,Laptop Pro 15,Elektronik,15000000,2023-03-01,Jakarta,15000000
TRX0070,CUST014,PROD005,2025-02-01 12:00:00.000,3,T-Shirt Katun,Pakaian,150000.0,2023-05-15,Jakarta,450000.0
TRX0071,CUST051,PROD031,2023-01-25 10:15:00.000,1,Smartwatch Fit,Elektronik,1200000.0,2023-01-18,Denpasar,1200000.0
TRX0072,CUST052,PROD032,2023-02-28 11:25:00.000,1,Celana Chino,Pakaian,380000.0,2023-02-22,Palembang,380000.0
TRX0073,CUST053,PROD033,2023-03-20 14:55:00.000,1,Raket Badminton,Olahraga,450000.0,2023-03-15,Denpasar,450000.0
TRX0074,CUST054,PROD034,2023-04-15 18:10:00.000,1,Buku Ensiklopedia,Buku,250000.0,2023-04-11,Palembang,250000.0
TRX0075,CUST055,PROD035,2023-05-10 09:40:00.000,1,Air Fryer,Rumah Tangga,950000.0,2023-05-05,Denpasar,950000.0
TRX0076,CUST056,PROD036,2023-06-18 20:05:00.000,1,Speaker Portable,Elektronik,550000.0,2023-06-14,Palembang,550000.0
TRX0077,CUST057,PROD037,2023-07-30 21:30:00.000,1,Gaun Pesta,Pakaian,650000.0,2023-07-25,Denpasar,650000.0
TRX0078,CUST058,PROD038,2023-09-02 13:00:00.000,2,Bola Basket,Olahraga,150000.0,2023-08-29,NaN,300000.0
TRX0079,CUST059,PROD039,2023-09-25 16:45:00.000,1,Buku Puisi,Buku,85000.0,2023-09-19,Denpasar,85000.0
TRX0080,CUST060,PROD040,2023-11-01 10:00:00.000,1,Vacuum Cleaner,Rumah Tangga,1100000.0,2023-10-28,Palembang,1100000.0
TRX0081,CUST061,PROD041,2023-11-15 12:20:00.000,1,Tablet 10 inch,Elektronik,4500000.0,2023-11-11,Denpasar,4500000.0
TRX0082,CUST062,PROD042,2023-12-28 15:10:00.000,1,Sweater Rajut,Pakaian,320000.0,2023-12-21,Palembang,320000.0
TRX0083,CUST063,PROD043,2024-01-18 17:50:00.000,1,Sarung Tangan Gym,Olahraga,90000.0,2024-01-13,Denpasar,90000.0
TRX0084,CUST064,PROD044,2024-03-01 19:00:00.000,2,Buku Anak Bergambar,Buku,75000.0,2024-02-25,Palembang,150000.0
TRX0085,CUST065,PROD045,2024-03-22 08:00:00.000,1,Set Piring Keramik,Rumah Tangga,350000.0,2024-03-18,Denpasar,350000.0
TRX0086,CUST066,PROD046,2024-04-28 11:45:00.000,1,Printer All-in-One,Elektronik,2500000.0,2024-04-23,Palembang,2500000.0
TRX0087,CUST067,PROD047,2024-05-29 14:30:00.000,1,Rok Plisket,Pakaian,220000.0,2024-05-24,Denpasar,220000.0
TRX0088,CUST068,PROD048,2024-07-03 16:00:00.000,1,Kacamata Renang,Olahraga,120000.0,2024-06-29,Palembang,120000.0
TRX0089,CUST069,PROD049,2024-08-05 18:20:00.000,1,Atlas Dunia,Buku,180000.0,2024-07-31,NaN,180000.0
TRX0090,CUST070,PROD050,2024-08-20 20:10:00.000,1,Mesin Kopi Espresso,Rumah Tangga,2200000.0,2024-08-17,Palembang,2200000.0
TRX0091,CUST071,PROD001,2024-09-15 09:30:00.000,1,Laptop Pro 15,Elektronik,15000000,2024-09-12,Denpasar,15000000
TRX0092,CUST072,PROD002,2024-10-22 11:00:00.000,1,Smartphone X,Elektronik,8500000.0,2024-10-18,Palembang,8500000.0
TRX0093,CUST073,PROD003,2024-11-25 13:15:00.000,1,Wireless Mouse,Elektronik,250000.0,2024-11-22,Denpasar,250000.0
TRX0094,CUST074,PROD004,2024-12-15 15:45:00.000,1,Mechanical Keyboard,Elektronik,800000.0,2024-12-11,Palembang,800000.0
TRX0095,CUST075,PROD005,2025-01-12 17:00:00.000,4,T-Shirt Katun,Pakaian,150000.0,2025-01-09,Denpasar,600000.0
TRX0096,CUST076,PROD006,2023-02-10 09:00:00.000,1,Kemeja Flanel,Pakaian,350000.0,2023-02-01,Manado,350000.0
TRX0097,CUST077,PROD007,2023-03-12 10:00:00.000,1,Celana Jeans,Pakaian,450000.0,2023-03-03,Balikpapan,450000.0
TRX0098,CUST078,PROD008,2023-04-14 11:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2023-04-04,Manado,750000.0
TRX0099,CUST079,PROD009,2023-05-16 12:00:00.000,1,Matras Yoga,Olahraga,300000.0,2023-05-06,Balikpapan,300000.0
TRX0100,CUST080,PROD010,2023-06-18 13:00:00.000,2,Dumbbell 5kg,Olahraga,200000.0,2023-06-08,Manado,400000.0
TRX0101,CUST001,PROD001,2023-02-15 12:00:00.000,1,Laptop Pro 15,Elektronik,15000000,2023-01-15,Jakarta,15000000
TRX0102,CUST002,PROD005,2023-02-18 15:00:00.000,2,T-Shirt Katun,Pakaian,150000.0,2023-01-20,Surabaya,300000.0
TRX0103,CUST003,PROD012,2023-03-01 10:00:00.000,1,"Buku Motivasi ""Bangkit""",Buku,120000.0,2023-02-05,Bandung,120000.0
TRX0104,CUST004,PROD018,2023-03-20 11:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2023-02-10,Medan,400000.0
TRX0105,CUST005,PROD003,2023-04-05 14:00:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-03-01,Jakarta,250000.0
TRX0106,CUST006,PROD024,2023-04-12 16:00:00.000,1,Botol Minum 1L,Olahraga,80000.0,2023-03-12,Yogyakarta,80000.0
TRX0107,CUST007,PROD014,2023-05-10 09:00:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2023-01-28,Surabaya,550000.0
TRX0108,CUST008,PROD007,2023-05-22 13:00:00.000,1,Celana Jeans,Pakaian,450000.0,2023-02-19,NaN,450000.0
TRX0109,CUST009,PROD020,2023-06-05 17:00:00.000,1,Buku Resep Masakan,Buku,110000.0,2023-03-09,Semarang,110000.0
TRX0110,CUST010,PROD022,2023-06-15 19:00:00.000,1,Power Bank 10000mAh,Elektronik,300000.0,2023-03-25,Jakarta,300000.0
TRX0111,CUST011,PROD009,2023-07-01 08:00:00.000,1,Matras Yoga,Olahraga,300000.0,2023-04-07,Makassar,300000.0
TRX0112,CUST012,PROD019,2023-07-18 20:00:00.000,1,Tas Ransel,Olahraga,350000.0,2023-04-19,Medan,350000.0
TRX0113,CUST013,PROD011,2023-08-02 21:00:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-05-03,Yogyakarta,95000.0
TRX0114,CUST014,PROD016,2023-08-25 10:00:00.000,1,Sprei Katun Jepang,Rumah Tangga,250000.0,2023-05-15,Jakarta,250000.0
TRX0115,CUST015,PROD003,2023-09-10 12:00:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-06-01,Surabaya,250000.0
TRX0116,CUST016,PROD006,2023-09-28 14:00:00.000,1,Kemeja Flanel,Pakaian,350000.0,2023-06-11,Bandung,350000.0
TRX0117,CUST017,PROD025,2023-10-12 16:00:00.000,1,Buku Sejarah Dunia,Buku,150000.0,2023-07-04,Semarang,150000.0
TRX0118,CUST018,PROD002,2023-10-25 18:00:00.000,1,Smartphone X,Elektronik,8500000.0,2023-07-21,Jakarta,8500000.0
TRX0119,CUST019,PROD029,2023-11-05 09:00:00.000,1,Tali Skipping,Olahraga,60000.0,2023-08-05,Makassar,60000.0
TRX0120,CUST020,PROD008,2023-11-18 11:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2023-08-18,Medan,750000.0
TRX0121,CUST021,PROD001,2023-12-01 13:00:00.000,1,Laptop Pro 15,Elektronik,15000000,2023-09-02,Jakarta,15000000
TRX0122,CUST022,PROD015,2023-12-15 15:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2023-09-14,Surabaya,400000.0
TRX0123,CUST023,PROD018,2024-01-05 17:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2023-10-01,Bandung,400000.0
TRX0124,CUST024,PROD012,2024-01-20 19:00:00.000,1,"Buku Motivasi ""Bangkit""",Buku,120000.0,2023-10-20,NaN,120000.0
TRX0125,CUST025,PROD003,2024-02-02 08:00:00.000,1,Wireless Mouse,Elektronik,250000.0,2023-11-08,Jakarta,250000.0
TRX0126,CUST026,PROD014,2024-02-15 10:00:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2023-11-17,Semarang,550000.0
TRX0127,CUST027,PROD005,2024-03-01 12:00:00.000,2,T-Shirt Katun,Pakaian,150000.0,2023-12-03,Surabaya,300000.0
TRX0128,CUST028,PROD007,2024-03-18 14:00:00.000,1,Celana Jeans,Pakaian,450000.0,2023-12-22,Bandung,450000.0
TRX0129,CUST029,PROD002,2024-04-02 16:00:00.000,1,Smartphone X,Elektronik,8500000.0,2024-01-10,Jakarta,8500000.0
TRX0130,CUST030,PROD023,2024-04-15 18:00:00.000,1,Sandal Gunung,Pakaian,280000.0,2024-01-25,Medan,280000.0
TRX0131,CUST031,PROD009,2024-05-01 09:00:00.000,1,Matras Yoga,Olahraga,300000.0,2024-02-05,Yogyakarta,300000.0
TRX0132,CUST032,PROD020,2024-05-18 11:00:00.000,1,Buku Resep Masakan,Buku,110000.0,2024-02-18,Makassar,110000.0
TRX0133,CUST033,PROD001,2024-06-02 13:00:00.000,1,Laptop Pro 15,Elektronik,15000000,2024-03-02,Jakarta,15000000
TRX0134,CUST034,PROD015,2024-06-15 15:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2024-03-20,Surabaya,400000.0
TRX0135,CUST035,PROD018,2024-07-01 17:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2024-04-09,Bandung,400000.0
TRX0136,CUST036,PROD030,2024-07-18 19:00:00.000,1,Kamus Inggris-Indonesia,Buku,130000.0,2024-04-21,Semarang,130000.0
TRX0137,CUST037,PROD003,2024-08-02 08:00:00.000,1,Wireless Mouse,Elektronik,250000.0,2024-05-04,Jakarta,250000.0
TRX0138,CUST038,PROD007,2024-08-15 10:00:00.000,1,Celana Jeans,Pakaian,450000.0,2024-05-19,Medan,450000.0
TRX0139,CUST039,PROD024,2024-09-01 12:00:00.000,1,Botol Minum 1L,Olahraga,80000.0,2024-06-01,Yogyakarta,80000.0
TRX0140,CUST040,PROD022,2024-09-18 14:00:00.000,1,Power Bank 10000mAh,Elektronik,300000.0,2024-06-15,Jakarta,300000.0
TRX0141,CUST041,PROD002,2024-10-02 16:00:00.000,1,Smartphone X,Elektronik,8500000.0,2024-07-02,Surabaya,8500000.0
TRX0142,CUST042,PROD006,2024-10-15 18:00:00.000,1,Kemeja Flanel,Pakaian,350000.0,2024-07-18,Bandung,350000.0
TRX0143,CUST043,PROD014,2024-11-01 09:00:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2024-08-07,NaN,550000.0
TRX0144,CUST044,PROD017,2024-11-18 11:00:00.000,1,Headphone Bluetooth,Elektronik,600000.0,2024-08-22,Jakarta,600000.0
TRX0145,CUST045,PROD009,2024-12-02 13:00:00.000,1,Matras Yoga,Olahraga,300000.0,2024-09-05,Makassar,300000.0
TRX0146,CUST046,PROD023,2024-12-15 15:00:00.000,1,Sandal Gunung,Pakaian,280000.0,2024-09-19,Medan,280000.0
TRX0147,CUST047,PROD004,2025-01-01 17:00:00.000,1,Mechanical Keyboard,Elektronik,800000.0,2024-10-03,Jakarta,800000.0
TRX0148,CUST048,PROD008,2025-01-18 19:00:00.000,1,Sepatu Lari,Olahraga,750000.0,2024-10-15,Surabaya,750000.0
TRX0149,CUST049,PROD018,2025-02-02 08:00:00.000,1,Jaket Hoodie,Pakaian,400000.0,2024-11-02,Bandung,400000.0
TRX0150,CUST050,PROD012,2025-02-15 10:00:00.000,1,"Buku Motivasi ""Bangkit""",Buku,120000.0,2024-11-10,Yogyakarta,120000.0
TRX0151,CUST001,PROD017,2023-03-10 14:00:00.000,1,Headphone Bluetooth,Elektronik,600000.0,2023-01-15,Jakarta,600000.0
TRX0152,CUST002,PROD022,2023-04-15 16:00:00.000,1,Power Bank 10000mAh,Elektronik,300000.0,2023-01-20,Surabaya,300000.0
TRX0153,CUST003,PROD013,2023-05-20 18:00:00.000,1,Komik Petualangan,Buku,50000.0,2023-02-05,Bandung,50000.0
TRX0154,CUST004,PROD007,2023-06-25 09:00:00.000,1,Celana Jeans,Pakaian,450000.0,2023-02-10,Medan,450000.0
TRX0155,CUST005,PROD005,2023-07-30 11:00:00.000,3,T-Shirt Katun,Pakaian,150000.0,2023-03-01,Jakarta,450000.0
TRX0156,CUST006,PROD009,2023-08-10 13:00:00.000,1,Matras Yoga,Olahraga,300000.0,2023-03-12,Yogyakarta,300000.0
TRX0157,CUST007,PROD015,2023-09-15 15:00:00.000,1,Blender Multifungsi,Rumah Tangga,400000.0,2023-01-28,Surabaya,400000.0
TRX0158,CUST008,PROD006,2023-10-20 17:00:00.000,1,Kemeja Flanel,Pakaian,350000.0,2023-02-19,NaN,350000.0
TRX0159,CUST009,PROD014,2023-11-25 19:00:00.000,1,Panci Set Anti Lengket,Rumah Tangga,550000.0,2023-03-09,Semarang,550000.0
TRX0160,CUST010,PROD002,2023-12-30 08:00:00.000,1,Smartphone X,Elektronik,8500000.0,2023-03-25,Jakarta,8500000.0
TRX0161,CUST011,PROD024,2024-01-10 10:00:00.000,1,Botol Minum 1L,Olahraga,80000.0,2023-04-07,Makassar,80000.0
TRX0162,CUST012,PROD019,2024-02-15 12:00:00.000,1,Tas Ransel,Olahraga,350000.0,2023-04-19,Medan,350000.0
TRX0163,CUST013,PROD011,2024-03-20 14:00:00.000,1,"Novel Fiksi ""Senja""",Buku,95000.0,2023-05-03,Yogyakarta,95000.0
TRX0164,CUST014,PROD016,2024-04-25 16:00:00.000,1,Sprei Katun Jepang,Rumah Tangga,250000.0,2023-05-15,Jakarta,250000.0
